"filename", "language", "YAML", "Dart", "Markdown", "Swift", "Groovy", "C++", "Properties", "XML", "JSON", "HTML", "Kotlin", "comment", "blank", "total"
"/Users/ramidmour/development/flutter_order_test_task/lib/features/category/domain/use_case/insert_category_use_case.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/ramidmour/development/flutter_order_test_task/lib/features/category/domain/use_case/update_category_use_case.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/ramidmour/development/flutter_order_test_task/lib/features/order/data/datasources/local/entity/order_entity.dart", "Dart", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/Users/ramidmour/development/flutter_order_test_task/lib/features/order/data/datasources/local/entity/order_product_entity.dart", "Dart", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"/Users/ramidmour/development/flutter_order_test_task/lib/features/order/data/datasources/local/order_local_datasource.dart", "Dart", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 26
"/Users/ramidmour/development/flutter_order_test_task/lib/features/order/data/datasources/local/order_product_local_datasource.dart", "Dart", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"/Users/ramidmour/development/flutter_order_test_task/lib/features/order/data/mapper/order_mapper.dart", "Dart", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"/Users/ramidmour/development/flutter_order_test_task/lib/features/order/data/repository/order_repository_impl.dart", "Dart", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 11, 71
"/Users/ramidmour/development/flutter_order_test_task/lib/features/order/domain/model/order.dart", "Dart", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/ramidmour/development/flutter_order_test_task/lib/features/order/domain/repository/order_repository.dart", "Dart", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/ramidmour/development/flutter_order_test_task/lib/features/order/domain/use_case/create_order_use_case.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/ramidmour/development/flutter_order_test_task/lib/features/order/domain/use_case/get_all_orders.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/ramidmour/development/flutter_order_test_task/lib/features/order/domain/use_case/get_order_by_id.dart", "Dart", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"/Users/ramidmour/development/flutter_order_test_task/lib/features/product/data/datasource/local/entity/product_entity.dart", "Dart", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"/Users/ramidmour/development/flutter_order_test_task/lib/features/product/data/datasource/local/product_local_datasource.dart", "Dart", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 24
"/Users/ramidmour/development/flutter_order_test_task/lib/features/product/data/mapper/product_mapper.dart", "Dart", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"/Users/ramidmour/development/flutter_order_test_task/lib/features/product/data/repository/product_repository_impl.dart", "Dart", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 53
